label,raw_label,most_similar_label,cosine_similarity
toy poodle,toy poodle,,
kerry blue terrier,Kerry blue terrier,,
ox,ox,llama,0.35340210795402527
scotch terrier,Scotch terrier,,
tibetan mastiff,Tibetan mastiff,,
spider monkey,spider monkey,,
doberman,Doberman,rottweiler,0.5893593430519104
boston bull,Boston bull,,
greater swiss mountain dog,Greater Swiss Mountain dog,,
appenzeller,Appenzeller,jacamar,0.3249512016773224
shih-tzu,Shih-Tzu,,
irish water spaniel,Irish water spaniel,,
pomeranian,Pomeranian,dalmatian,0.29546430706977844
bedlington terrier,Bedlington terrier,,
warthog,warthog,hyena,0.3726409673690796
arabian camel,Arabian camel,,
siamang,siamang,lorikeet,0.38033655285835266
miniature schnauzer,miniature schnauzer,,
collie,collie,rottweiler,0.36623215675354004
golden retriever,golden retriever,,
irish terrier,Irish terrier,,
affenpinscher,affenpinscher,,
border collie,Border collie,,
hare,hare,badger,0.3705846667289734
boxer,boxer,racer,0.28005287051200867
silky terrier,silky terrier,,
beagle,beagle,balloon,0.2985592782497406
leonberg,Leonberg,gyromitra,0.26214414834976196
german short-haired pointer,German short-haired pointer,,
patas,patas,guenon,0.37164947390556335
dhole,dhole,jacamar,0.3660162091255188
baboon,baboon,chimpanzee,0.37770506739616394
macaque,macaque,langur,0.46943938732147217
chesapeake bay retriever,Chesapeake Bay retriever,,
bull mastiff,bull mastiff,,
kuvasz,kuvasz,,
capuchin,capuchin,monastery,0.3861454725265503
pug,pug,doberman,0.4316829741001129
curly-coated retriever,curly-coated retriever,,
norwich terrier,Norwich terrier,,
flat-coated retriever,flat-coated retriever,,
hog,hog,corn,0.35778507590293884
keeshond,keeshond,,
eskimo dog,Eskimo dog,,
brittany spaniel,Brittany spaniel,,
standard poodle,standard poodle,,
lakeland terrier,Lakeland terrier,,
snow leopard,snow leopard,,
gordon setter,Gordon setter,,
dingo,dingo,hyena,0.3858951926231384
standard schnauzer,standard schnauzer,,
hamster,hamster,cockroach,0.3803185224533081
tibetan terrier,Tibetan terrier,,
arctic fox,Arctic fox,,
wire-haired fox terrier,wire-haired fox terrier,,
basset,basset,weimaraner,0.2557743787765503
water buffalo,water buffalo,,
american black bear,American black bear,,
angora,Angora,cardigan,0.3853759467601776
bison,bison,bighorn,0.4035426080226898
howler monkey,howler monkey,,
hippopotamus,hippopotamus,hyena,0.4422401785850525
chow,chow,platypus,0.24851122498512268
giant panda,giant panda,,
american staffordshire terrier,American Staffordshire terrier,,
shetland sheepdog,Shetland sheepdog,,
great pyrenees,Great Pyrenees,,
chihuahua,Chihuahua,coyote,0.2842022776603699
tabby,tabby,leopard,0.33142995834350586
marmoset,marmoset,titi,0.3775661587715149
labrador retriever,Labrador retriever,,
saint bernard,Saint Bernard,,
armadillo,armadillo,cockroach,0.40693509578704834
samoyed,Samoyed,malamute,0.4420429468154907
bluetick,bluetick,,
redbone,redbone,rottweiler,0.25685009360313416
polecat,polecat,hyena,0.38145676255226135
marmot,marmot,ptarmigan,0.3572918772697449
kelpie,kelpie,jacamar,0.40996068716049194
gibbon,gibbon,siamang,0.3489599823951721
llama,llama,ox,0.35340210795402527
miniature pinscher,miniature pinscher,,
wood rabbit,wood rabbit,,
italian greyhound,Italian greyhound,,
lion,lion,leopard,0.49806877970695496
cocker spaniel,cocker spaniel,,
irish setter,Irish setter,,
dugong,dugong,loggerhead,0.4630453288555145
indian elephant,Indian elephant,,
beaver,beaver,otter,0.5524694323539734
sussex spaniel,Sussex spaniel,,
pembroke,Pembroke,cardigan,0.34878596663475037
blenheim spaniel,Blenheim spaniel,,
madagascar cat,Madagascar cat,,
rhodesian ridgeback,Rhodesian ridgeback,,
lynx,lynx,cougar,0.46120908856391907
african hunting dog,African hunting dog,,
langur,langur,macaque,0.46943938732147217
ibizan hound,Ibizan hound,,
timber wolf,timber wolf,,
cheetah,cheetah,leopard,0.49971985816955566
english foxhound,English foxhound,,
briard,briard,basenji,0.340056836605072
sloth bear,sloth bear,,
border terrier,Border terrier,,
german shepherd,German shepherd,,
otter,otter,beaver,0.5524694323539734
koala,koala,orangutan,0.4557289481163025
tusker,tusker,kelpie,0.2867632806301117
echidna,echidna,platypus,0.5154259204864502
wallaby,wallaby,banjo,0.2410125732421875
platypus,platypus,echidna,0.5154259204864502
wombat,wombat,koala,0.3832378685474396
revolver,revolver,rifle,0.5199379920959473
umbrella,umbrella,shield,0.3292481303215027
schooner,schooner,catamaran,0.360006719827652
soccer ball,soccer ball,,
accordion,accordion,harmonica,0.6771310567855835
ant,ant,grasshopper,0.4182577431201935
starfish,starfish,jellyfish,0.44373610615730286
chambered nautilus,chambered nautilus,,
grand piano,grand piano,,
laptop,laptop,ipod,0.5204770565032959
strawberry,strawberry,banana,0.43655747175216675
airliner,airliner,plane,0.6642734408378601
warplane,warplane,missile,0.3928474485874176
airship,airship,balloon,0.39318981766700745
balloon,balloon,parachute,0.44706180691719055
space shuttle,space shuttle,,
fireboat,fireboat,bloodhound,0.3238900303840637
gondola,gondola,balloon,0.3965548872947693
speedboat,speedboat,catamaran,0.46060287952423096
lifeboat,lifeboat,schooner,0.3598041534423828
canoe,canoe,paddle,0.4505526125431061
yawl,yawl,catamaran,0.36810100078582764
catamaran,catamaran,trimaran,0.4865042269229889
trimaran,trimaran,catamaran,0.4865042269229889
container ship,container ship,,
liner,liner,wreck,0.303119033575058
pirate,pirate,schooner,0.3277793228626251
aircraft carrier,aircraft carrier,,
submarine,submarine,missile,0.45667922496795654
wreck,wreck,submarine,0.3216966390609741
half track,half track,,
tank,tank,mortar,0.4128696620464325
missile,missile,submarine,0.45667922496795654
bobsled,bobsled,ski,0.3869690001010895
dogsled,dogsled,snowmobile,0.41654202342033386
bicycle-built-for-two,bicycle-built-for-two,,
mountain bike,mountain bike,,
freight car,freight car,,
passenger car,passenger car,,
barrow,barrow,viaduct,0.26085129380226135
shopping cart,shopping cart,,
motor scooter,motor scooter,,
forklift,forklift,tractor,0.48532894253730774
electric locomotive,electric locomotive,,
steam locomotive,steam locomotive,,
amphibian,amphibian,dragonfly,0.35964250564575195
ambulance,ambulance,stretcher,0.4919056296348572
beach wagon,beach wagon,,
cab,cab,limousine,0.47720202803611755
convertible,convertible,jaguar,0.4281840920448303
jeep,jeep,minivan,0.6503174901008606
limousine,limousine,cab,0.47720202803611755
minivan,minivan,jeep,0.6503174901008606
model t,Model T,,
racer,racer,ski,0.45124369859695435
sports car,sports car,,
go-kart,go-kart,unicycle,0.2942698299884796
golfcart,golfcart,,
moped,moped,snowmobile,0.4409780502319336
snowplow,snowplow,forklift,0.36203503608703613
fire engine,fire engine,,
garbage truck,garbage truck,,
pickup,pickup,minivan,0.5199180841445923
tow truck,tow truck,,
trailer truck,trailer truck,,
moving van,moving van,,
police van,police van,,
recreational vehicle,recreational vehicle,,
streetcar,streetcar,trolleybus,0.4787387549877167
snowmobile,snowmobile,ski,0.4416183531284332
tractor,tractor,forklift,0.48532894253730774
mobile home,mobile home,,
tricycle,tricycle,tractor,0.39252570271492004
unicycle,unicycle,dogsled,0.32253631949424744
horse cart,horse cart,,
jinrikisha,jinrikisha,,
oxcart,oxcart,axolotl,0.34322458505630493
bassinet,bassinet,crib,0.524336576461792
cradle,cradle,crib,0.2650546729564667
crib,crib,bassinet,0.524336576461792
four-poster,four-poster,,
bookcase,bookcase,patio,0.3977467119693756
china cabinet,china cabinet,,
medicine chest,medicine chest,,
chiffonier,chiffonier,,
table lamp,table lamp,,
file,file,suit,0.4172622561454773
park bench,park bench,,
barber chair,barber chair,,
throne,throne,monarch,0.5454431176185608
folding chair,folding chair,,
rocking chair,rocking chair,,
studio couch,studio couch,,
toilet seat,toilet seat,,
desk,desk,bookcase,0.3899359107017517
pool table,pool table,,
dining table,dining table,,
entertainment center,entertainment center,,
wardrobe,wardrobe,wig,0.3867945075035095
granny smith,Granny Smith,,
orange,orange,lemon,0.47241148352622986
lemon,lemon,pineapple,0.5257336497306824
fig,fig,pomegranate,0.483988881111145
pineapple,pineapple,banana,0.5492371916770935
banana,banana,pineapple,0.5492371916770935
jackfruit,jackfruit,pineapple,0.4368976056575775
custard apple,custard apple,,
pomegranate,pomegranate,lemon,0.5180922746658325
acorn,acorn,bolete,0.27882710099220276
hip,hip,chest,0.3655182421207428
ear,ear,chest,0.4468401372432709
rapeseed,rapeseed,corn,0.419292151927948
corn,corn,rapeseed,0.419292151927948
buckeye,buckeye,armadillo,0.338600218296051
organ,organ,violin,0.4169798791408539
upright,upright,pedestal,0.38066089153289795
chime,chime,ocarina,0.33450040221214294
drum,drum,flute,0.42800450325012207
gong,gong,lhasa,0.24069257080554962
maraca,maraca,dishrag,0.33710238337516785
marimba,marimba,cello,0.44512760639190674
steel drum,steel drum,,
banjo,banjo,harmonica,0.6850293874740601
cello,cello,violin,0.8654597997665405
violin,violin,cello,0.8654597997665405
harp,harp,flute,0.5761356353759766
acoustic guitar,acoustic guitar,,
electric guitar,electric guitar,,
cornet,cornet,trombone,0.43672046065330505
french horn,French horn,,
trombone,trombone,flute,0.6568196415901184
harmonica,harmonica,banjo,0.6850293874740601
ocarina,ocarina,chime,0.33450040221214294
panpipe,panpipe,,
bassoon,bassoon,oboe,0.7859706878662109
oboe,oboe,bassoon,0.7859706878662109
sax,sax,trombone,0.5925719141960144
flute,flute,oboe,0.7183442711830139
daisy,daisy,hamster,0.28832146525382996
yellow lady's slipper,yellow lady's slipper,,
cliff,cliff,promontory,0.33759546279907227
valley,valley,dam,0.2928408980369568
alp,alp,limpkin,0.21071773767471313
volcano,volcano,geyser,0.35757893323898315
promontory,promontory,cliff,0.33759546279907227
sandbar,sandbar,breakwater,0.3431977927684784
coral reef,coral reef,,
lakeside,lakeside,monastery,0.26095420122146606
seashore,seashore,promontory,0.33131659030914307
geyser,geyser,volcano,0.35757893323898315
hatchet,hatchet,shovel,0.34091004729270935
cleaver,cleaver,beaver,0.33763059973716736
letter opener,letter opener,,
plane,plane,airliner,0.6642734408378601
power drill,power drill,,
lawn mower,lawn mower,,
hammer,hammer,nail,0.43855687975883484
corkscrew,corkscrew,shovel,0.3391251564025879
can opener,can opener,,
plunger,plunger,syringe,0.3626278042793274
screwdriver,screwdriver,screw,0.4136768579483032
shovel,shovel,plow,0.49254339933395386
plow,plow,shovel,0.49254339933395386
chain saw,chain saw,,
cock,cock,hen,0.3545182943344116
hen,hen,goose,0.38445374369621277
ostrich,ostrich,bison,0.3785785138607025
brambling,brambling,,
goldfinch,goldfinch,magpie,0.3833787739276886
house finch,house finch,,
junco,junco,tarantula,0.3317815065383911
indigo bunting,indigo bunting,,
robin,robin,jay,0.33533042669296265
bulbul,bulbul,hornbill,0.3719261586666107
jay,jay,robin,0.33533042669296265
magpie,magpie,goldfinch,0.3833787739276886
chickadee,chickadee,jacamar,0.331226646900177
water ouzel,water ouzel,,
kite,kite,balloon,0.41876494884490967
bald eagle,bald eagle,,
vulture,vulture,scorpion,0.35607996582984924
great grey owl,great grey owl,,
black grouse,black grouse,,
ptarmigan,ptarmigan,marmot,0.3572918772697449
ruffed grouse,ruffed grouse,,
prairie chicken,prairie chicken,,
peacock,peacock,ostrich,0.34343037009239197
quail,quail,goose,0.3958624601364136
partridge,partridge,quail,0.3723561763763428
african grey,African grey,,
macaw,macaw,tarantula,0.353707492351532
sulphur-crested cockatoo,sulphur-crested cockatoo,,
lorikeet,lorikeet,jacamar,0.40750852227211
coucal,coucal,jacamar,0.4644221365451813
bee eater,bee eater,,
hornbill,hornbill,coucal,0.3868871331214905
hummingbird,hummingbird,dragonfly,0.4826308488845825
jacamar,jacamar,gyromitra,0.509760856628418
toucan,toucan,lorikeet,0.3390215039253235
drake,drake,robin,0.2648162245750427
red-breasted merganser,red-breasted merganser,,
goose,goose,quail,0.3958624601364136
black swan,black swan,,
white stork,white stork,,
black stork,black stork,,
spoonbill,spoonbill,bustard,0.36261284351348877
flamingo,flamingo,pelican,0.30334943532943726
american egret,American egret,,
little blue heron,little blue heron,,
bittern,bittern,redshank,0.3561397194862366
crane,crane,forklift,0.36469563841819763
limpkin,limpkin,jacamar,0.4559215009212494
american coot,American coot,,
bustard,bustard,spoonbill,0.36261284351348877
ruddy turnstone,ruddy turnstone,,
red-backed sandpiper,red-backed sandpiper,,
redshank,redshank,oystercatcher,0.43487098813056946
dowitcher,dowitcher,,
oystercatcher,oystercatcher,redshank,0.43487098813056946
european gallinule,European gallinule,,
pelican,pelican,mongoose,0.35886991024017334
king penguin,king penguin,,
albatross,albatross,pelican,0.3265991806983948
great white shark,great white shark,,
tiger shark,tiger shark,,
hammerhead,hammerhead,sandbar,0.3142833411693573
electric ray,electric ray,,
stingray,stingray,hummingbird,0.40234997868537903
barracouta,barracouta,,
coho,coho,sturgeon,0.38390082120895386
tench,tench,harmonica,0.2736695110797882
goldfish,goldfish,hippopotamus,0.34922611713409424
eel,eel,crayfish,0.4461090564727783
rock beauty,rock beauty,,
anemone fish,anemone fish,,
lionfish,lionfish,jellyfish,0.4057510495185852
puffer,puffer,crayfish,0.2981683909893036
sturgeon,sturgeon,dugong,0.3893679976463318
gar,gar,cockroach,0.27786776423454285
loggerhead,loggerhead,dugong,0.4630453288555145
leatherback turtle,leatherback turtle,,
mud turtle,mud turtle,,
terrapin,terrapin,diamondback,0.4224253296852112
box turtle,box turtle,,
banded gecko,banded gecko,,
common iguana,common iguana,,
american chameleon,American chameleon,,
whiptail,whiptail,lorikeet,0.3446838855743408
agama,agama,bulbul,0.339180052280426
frilled lizard,frilled lizard,,
alligator lizard,alligator lizard,,
gila monster,Gila monster,,
green lizard,green lizard,,
african chameleon,African chameleon,,
komodo dragon,Komodo dragon,,
triceratops,triceratops,hyena,0.3258921802043915
african crocodile,African crocodile,,
american alligator,American alligator,,
thunder snake,thunder snake,,
ringneck snake,ringneck snake,,
hognose snake,hognose snake,,
green snake,green snake,,
king snake,king snake,,
garter snake,garter snake,,
water snake,water snake,,
vine snake,vine snake,,
night snake,night snake,,
boa constrictor,boa constrictor,,
rock python,rock python,,
indian cobra,Indian cobra,,
green mamba,green mamba,,
sea snake,sea snake,,
horned viper,horned viper,,
diamondback,diamondback,terrapin,0.4224253296852112
sidewinder,sidewinder,weasel,0.32832789421081543
european fire salamander,European fire salamander,,
common newt,common newt,,
eft,eft,axolotl,0.2790783643722534
spotted salamander,spotted salamander,,
axolotl,axolotl,gyromitra,0.3857129216194153
bullfrog,bullfrog,armadillo,0.3414095342159271
tree frog,tree frog,,
tailed frog,tailed frog,,
whistle,whistle,chime,0.33220601081848145
wing,wing,tank,0.28999263048171997
paintbrush,paintbrush,screwdriver,0.347676545381546
hand blower,hand blower,,
oxygen mask,oxygen mask,,
snorkel,snorkel,mask,0.33862027525901794
loudspeaker,loudspeaker,microphone,0.4886493384838104
microphone,microphone,loudspeaker,0.4886493384838104
screen,screen,cinema,0.4431978464126587
mouse,mouse,joystick,0.4715430438518524
electric fan,electric fan,,
oil filter,oil filter,,
strainer,strainer,ladle,0.4486507475376129
space heater,space heater,,
stove,stove,refrigerator,0.5503267645835876
guillotine,guillotine,padlock,0.2814737856388092
barometer,barometer,barrel,0.18385809659957886
rule,rule,monarch,0.3427113890647888
odometer,odometer,oscilloscope,0.29760876297950745
scale,scale,stage,0.30654236674308777
analog clock,analog clock,,
digital clock,digital clock,,
wall clock,wall clock,,
hourglass,hourglass,corkscrew,0.32928746938705444
sundial,sundial,obelisk,0.3597865402698517
parking meter,parking meter,,
stopwatch,stopwatch,stethoscope,0.36107543110847473
digital watch,digital watch,,
stethoscope,stethoscope,stopwatch,0.36107543110847473
syringe,syringe,plunger,0.3626278042793274
magnetic compass,magnetic compass,,
binoculars,binoculars,sunglasses,0.41202977299690247
projector,projector,planetarium,0.46528831124305725
sunglasses,sunglasses,wig,0.5313175916671753
loupe,loupe,guenon,0.3373827636241913
radio telescope,radio telescope,,
bow,bow,buckle,0.33343830704689026
cannon [ground],cannon [ground],,
assault rifle,assault rifle,,
rifle,rifle,revolver,0.5199379920959473
projectile,projectile,muzzle,0.4033595621585846
computer keyboard,computer keyboard,,
typewriter keyboard,typewriter keyboard,,
crane,crane,forklift,0.36469563841819763
lighter,lighter,grille,0.2632494866847992
abacus,abacus,crutch,0.22589465975761414
cash machine,cash machine,,
slide rule,slide rule,,
desktop computer,desktop computer,,
hand-held computer,hand-held computer,,
notebook,notebook,laptop,0.5198764801025391
web site,web site,,
harvester,harvester,tractor,0.36247894167900085
thresher,thresher,harvester,0.34854546189308167
printer,printer,modem,0.45300042629241943
slot,slot,puck,0.37181371450424194
vending machine,vending machine,,
sewing machine,sewing machine,,
joystick,joystick,mouse,0.4715430438518524
switch,switch,screen,0.309510201215744
hook,hook,crane,0.3644196093082428
car wheel,car wheel,,
paddlewheel,paddlewheel,flamingo,0.2865864336490631
pinwheel,pinwheel,dumbbell,0.32684192061424255
potter's wheel,potter's wheel,,
gas pump,gas pump,,
carousel,carousel,barn,0.40279608964920044
swing,swing,hip,0.32283106446266174
reel,reel,cassette,0.35262730717658997
radiator,radiator,grille,0.5434460043907166
puck,puck,slot,0.37181371450424194
hard disc,hard disc,,
sunglass,sunglass,sunglasses,0.3160230219364166
pick,pick,pickup,0.4160633981227875
car mirror,car mirror,,
solar dish,solar dish,,
remote control,remote control,,
disk brake,disk brake,,
buckle,buckle,bow,0.33343830704689026
hair slide,hair slide,,
knot,knot,pretzel,0.322671115398407
combination lock,combination lock,,
padlock,padlock,mailbox,0.3340921700000763
nail,nail,hammer,0.43855687975883484
safety pin,safety pin,,
screw,screw,screwdriver,0.4136768579483032
muzzle,muzzle,projectile,0.4033595621585846
seat belt,seat belt,,
ski,ski,racer,0.45124369859695435
candle,candle,stove,0.41593918204307556
jack-o'-lantern,jack-o'-lantern,,
spotlight,spotlight,screen,0.26565760374069214
torch,torch,lhasa,0.3534127175807953
neck brace,neck brace,,
pier,pier,dock,0.5129998326301575
tripod,tripod,pedestal,0.45513516664505005
maypole,maypole,megalith,0.3786272406578064
mousetrap,mousetrap,bloodhound,0.3183515965938568
spider web,spider web,,
trilobite,trilobite,mantis,0.34282436966896057
harvestman,harvestman,agaric,0.4147345721721649
scorpion,scorpion,dragonfly,0.48012301325798035
black and gold garden spider,black and gold garden spider,,
barn spider,barn spider,,
garden spider,garden spider,,
black widow,black widow,,
tarantula,tarantula,scorpion,0.43897438049316406
wolf spider,wolf spider,,
tick,tick,cockroach,0.33138948678970337
centipede,centipede,mongoose,0.4351305067539215
isopod,isopod,harvestman,0.3978640139102936
dungeness crab,Dungeness crab,,
rock crab,rock crab,,
fiddler crab,fiddler crab,,
king crab,king crab,,
american lobster,American lobster,,
spiny lobster,spiny lobster,,
crayfish,crayfish,eel,0.4461090564727783
hermit crab,hermit crab,,
tiger beetle,tiger beetle,,
ladybug,ladybug,amphibian,0.3349367380142212
ground beetle,ground beetle,,
long-horned beetle,long-horned beetle,,
leaf beetle,leaf beetle,,
dung beetle,dung beetle,,
rhinoceros beetle,rhinoceros beetle,,
weevil,weevil,mantis,0.3985505700111389
fly,fly,plane,0.5285903811454773
bee,bee,hen,0.3735489845275879
grasshopper,grasshopper,ant,0.4182577431201935
cricket,cricket,scoreboard,0.4463508427143097
walking stick,walking stick,,
cockroach,cockroach,tarantula,0.41032934188842773
mantis,mantis,weevil,0.3985505700111389
cicada,cicada,magpie,0.354287713766098
leafhopper,leafhopper,jacamar,0.35011860728263855
lacewing,lacewing,cardoon,0.3928065598011017
dragonfly,dragonfly,damselfly,0.6021568775177002
damselfly,damselfly,dragonfly,0.6021568775177002
admiral,admiral,submarine,0.347534716129303
ringlet,ringlet,jacamar,0.4146142899990082
monarch,monarch,throne,0.5454431176185608
cabbage butterfly,cabbage butterfly,,
sulphur butterfly,sulphur butterfly,,
lycaenid,lycaenid,earthstar,0.31603288650512695
jellyfish,jellyfish,scorpion,0.4497878849506378
sea anemone,sea anemone,,
brain coral,brain coral,,
flatworm,flatworm,cicada,0.32294192910194397
nematode,nematode,weevil,0.3791239559650421
conch,conch,tarantula,0.3640960156917572
snail,snail,jellyfish,0.4033609628677368
slug,slug,file,0.2731567323207855
sea slug,sea slug,,
chiton,chiton,stinkhorn,0.35635828971862793
sea urchin,sea urchin,,
sea cucumber,sea cucumber,,
iron,iron,brass,0.3868066966533661
espresso maker,espresso maker,,
microwave,microwave,refrigerator,0.4925198554992676
dutch oven,Dutch oven,,
rotisserie,rotisserie,potpie,0.3763272166252136
toaster,toaster,microwave,0.4550216794013977
waffle iron,waffle iron,,
vacuum,vacuum,washer,0.3327125608921051
dishwasher,dishwasher,refrigerator,0.5345638394355774
refrigerator,refrigerator,stove,0.5503267645835876
washer,washer,dishwasher,0.5223259329795837
crock pot,Crock Pot,,
frying pan,frying pan,,
wok,wok,spatula,0.46022751927375793
caldron,caldron,teapot,0.34464237093925476
coffeepot,coffeepot,birdhouse,0.34201014041900635
teapot,teapot,dome,0.4204450845718384
spatula,spatula,wok,0.46022751927375793
altar,altar,church,0.46861428022384644
triumphal arch,triumphal arch,,
patio,patio,tub,0.45270341634750366
steel arch bridge,steel arch bridge,,
suspension bridge,suspension bridge,,
viaduct,viaduct,pier,0.371355265378952
barn,barn,carousel,0.40279608964920044
greenhouse,greenhouse,thatch,0.20539280772209167
palace,palace,castle,0.4844643473625183
monastery,monastery,church,0.539591908454895
library,library,cinema,0.34804052114486694
apiary,apiary,oxcart,0.27292904257774353
boathouse,boathouse,lifeboat,0.33850303292274475
church,church,monastery,0.539591908454895
mosque,mosque,church,0.3819110095500946
stupa,stupa,monastery,0.39650818705558777
planetarium,planetarium,projector,0.46528831124305725
restaurant,restaurant,bakery,0.5794129371643066
cinema,cinema,screen,0.4431978464126587
home theater,home theater,,
lumbermill,lumbermill,,
coil,coil,radiator,0.4058050513267517
obelisk,obelisk,pedestal,0.4904833734035492
totem pole,totem pole,,
castle,castle,palace,0.4844643473625183
prison,prison,palace,0.24276138842105865
grocery store,grocery store,,
bakery,bakery,restaurant,0.5794129371643066
barbershop,barbershop,bakery,0.32354021072387695
bookshop,bookshop,bakery,0.3632754385471344
butcher shop,butcher shop,,
confectionery,confectionery,bakery,0.4859532117843628
shoe shop,shoe shop,,
tobacco shop,tobacco shop,,
toyshop,toyshop,jacamar,0.34785184264183044
fountain,fountain,obelisk,0.38856077194213867
cliff dwelling,cliff dwelling,,
yurt,yurt,hartebeest,0.21218125522136688
dock,dock,pier,0.5129998326301575
brass,brass,flute,0.3960874676704407
megalith,megalith,maypole,0.3786272406578064
bannister,bannister,viaduct,0.21235540509223938
breakwater,breakwater,pier,0.41069307923316956
dam,dam,beaver,0.3603532314300537
chainlink fence,chainlink fence,,
picket fence,picket fence,,
worm fence,worm fence,,
stone wall,stone wall,,
grille,grille,radiator,0.5434460043907166
sliding door,sliding door,,
turnstile,turnstile,gondola,0.23272891342639923
mountain tent,mountain tent,,
scoreboard,scoreboard,cricket,0.4463508427143097
honeycomb,honeycomb,radiator,0.32395970821380615
plate rack,plate rack,,
pedestal,pedestal,obelisk,0.4904833734035492
beacon,beacon,radio,0.3016543388366699
mashed potato,mashed potato,,
bell pepper,bell pepper,,
head cabbage,head cabbage,,
broccoli,broccoli,cauliflower,0.7064539194107056
cauliflower,cauliflower,broccoli,0.7064539194107056
zucchini,zucchini,cauliflower,0.636334240436554
spaghetti squash,spaghetti squash,,
acorn squash,acorn squash,,
butternut squash,butternut squash,,
cucumber,cucumber,zucchini,0.6022024154663086
artichoke,artichoke,zucchini,0.5070863366127014
cardoon,cardoon,jacamar,0.4583788514137268
mushroom,mushroom,agaric,0.3901650607585907
shower curtain,shower curtain,,
jean,jean,robin,0.2641024887561798
carton,carton,crate,0.431412011384964
handkerchief,handkerchief,pillow,0.40858420729637146
sandal,sandal,scabbard,0.3408682942390442
ashcan,ashcan,maillot,0.2856513261795044
